Year,Acreage Planted,Varietal,Type
2015,4,Cinsaut,Red
2015,1,Counoise,Red
2015,0,Dolcetto,Red
2015,2,Dornfelder,Red
2015,0,Gamay,Red
2015,4,Graciano,Red
2015,110,Grenache,Red
2015,2,Lagrein,Red
2015,115,Malbec,Red
2015,84,Merlot,Red
2015,3,Meunier,Red
2015,1,Mission,Red
2015,5,Montepulciano,Red
2015,20,Mourvedre,Red
2015,0,Muscat Hamburg,Red
2015,4,Nebbiolo,Red
2015,315,Petit Verdot,Red
2015,678,Petite Sirah,Red
2015,1141,Pinot Noir,Red
2015,0,Pinotage,Red
2015,12,Primitivo,Red
2015,313,Rubired,Red
2015,77,Ruby Cabernet,Red
2015,11,Sangiovese,Red
2015,0,Souzao,Red
2015,42,Syrah,Red
2015,4,Tannat,Red
2015,36,Tempranillo,Red
2015,119,Teroldego,Red
2015,0,Touriga Nacional,Red
2015,171,Zinfandel,Red
2015,98,Other Red Wine,Red
2015,10,Albarino,White
2015,0,Arneis,White
2015,949,Chardonnay,White
2015,10,Chenin Blanc,White
2015,5,French Colombard,White
2015,3,Gewurztraminer,White
2015,21,Grenache Blanc,White
2015,0,Gruner Veltliner,White
2015,0,Malvasia Bianca,White
2015,1,Marsanne,White
2015,0,Moscato Gaillo,White
2015,5,Muscat Blanc,White
2015,0,Muscat of Alexandria,White
2015,0,Muscat Orange,White
2015,4,Picpoul Blanc,White
2015,45,Pinot Blanc,White
2015,1295,Pinot Gris,White
2015,5,Roussanne,White
2015,301,Sauvignon Blanc,White
2015,4,Sauvignon Musque,White
2015,0,Sauvignon Vert,White
2015,1,Semillon,White
2015,1,St. Emilion,White
2015,0,Symphony,White
2015,1,Tocai Friulano,White
2015,0,Triplett Blanc,White
2015,0,Verdelho,White
2015,7,Vermentino,White
2015,3,Viognier,White
2015,65,White Riesling,White
2015,23,Other White Wine,White
2014,2,Aglianico,Red
2014,14,Alicante Bouschet,Red
2014,74,Barbera,Red
2014,56,Cabernet Franc,Red
2014,3404,Cabernet Sauvignon,Red
2014,8,Carignane,Red
2014,1,Carmenere,Red
2014,0,Charbono,Red
2014,1,Cinsaut,Red
2014,0,Counoise,Red
2014,0,Dolcetto,Red
2014,0,Dornfelder,Red
2014,0,Gamay,Red
2014,2,Graciano,Red
2014,87,Grenache,Red
2014,0,Lagrein,Red
2014,204,Malbec,Red
2014,485,Merlot,Red
2014,0,Meunier,Red
2014,0,Mission,Red
2014,17,Montepulciano,Red
2014,31,Mourvedre,Red
2014,0,Muscat Hamburg,Red
2014,2,Nebbiolo,Red
2014,157,Petit Verdot,Red
2014,917,Petite Sirah,Red
2014,2056,Pinot Noir,Red
2014,0,Pinotage,Red
2014,224,Primitivo,Red
2014,281,Rubired,Red
2014,82,Ruby Cabernet,Red
2014,14,Sangiovese,Red
2014,1,Souzao,Red
2014,221,Syrah,Red
2014,37,Tannat,Red
2014,22,Tempranillo,Red
2014,261,Teroldego,Red
2014,43,Touriga Nacional,Red
2014,452,Zinfandel,Red
2014,45,Other Red Wine,Red
2014,18,Albarino,White
2014,1,Arneis,White
2014,2212,Chardonnay,White
2014,322,Chenin Blanc,White
2014,304,French Colombard,White
2014,7,Gewurztraminer,White
2014,54,Grenache Blanc,White
2014,0,Gruner Veltliner,White
2014,0,Malvasia Bianca,White
2014,5,Marsanne,White
2014,0,Moscato Gaillo,White
2014,50,Muscat Blanc,White
2014,2,Muscat of Alexandria,White
2014,3,Muscat Orange,White
2014,1,Picpoul Blanc,White
2014,0,Pinot Blanc,White
2014,1628,Pinot Gris,White
2014,10,Roussanne,White
2014,154,Sauvignon Blanc,White
2014,0,Sauvignon Musque,White
2014,0,Sauvignon Vert,White
2014,4,Semillon,White
2014,0,St. Emilion,White
2014,0,Symphony,White
2014,0,Tocai Friulano,White
2014,0,Triplett Blanc,White
2014,35,Verdelho,White
2014,22,Vermentino,White
2014,42,Viognier,White
2014,32,White Riesling,White
2014,17,Other White Wine,White
2013,9,Aglianico,Red
2013,6,Alicante Bouschet,Red
2013,94,Barbera,Red
2013,91,Cabernet Franc,Red
2013,4304,Cabernet Sauvignon,Red
2013,9,Carignane,Red
2013,5,Carmenere,Red
2013,0,Charbono,Red
2013,2,Cinsaut,Red
2013,2,Counoise,Red
2013,1,Dolcetto,Red
2013,0,Dornfelder,Red
2013,1,Gamay,Red
2013,0,Graciano,Red
2013,91,Grenache,Red
2013,21,Lagrein,Red
2013,207,Malbec,Red
2013,339,Merlot,Red
2013,1,Meunier,Red
2013,0,Mission,Red
2013,13,Montepulciano,Red
2013,25,Mourvedre,Red
2013,0,Muscat Hamburg,Red
2013,2,Nebbiolo,Red
2013,331,Petit Verdot,Red
2013,778,Petite Sirah,Red
2013,1460,Pinot Noir,Red
2013,0,Pinotage,Red
2013,493,Primitivo,Red
2013,127,Rubired,Red
2013,0,Ruby Cabernet,Red
2013,7,Sangiovese,Red
2013,2,Souzao,Red
2013,152,Syrah,Red
2013,30,Tannat,Red
2013,66,Tempranillo,Red
2013,232,Teroldego,Red
2013,1,Touriga Nacional,Red
2013,778,Zinfandel,Red
2013,168,Other Red Wine,Red
2013,5,Albarino,White
2013,0,Arneis,White
2013,1969,Chardonnay,White
2013,27,Chenin Blanc,White
2013,905,French Colombard,White
2013,2,Gewurztraminer,White
2013,30,Grenache Blanc,White
2013,2,Gruner Veltliner,White
2013,4,Malvasia Bianca,White
2013,4,Marsanne,White
2013,0,Moscato Gaillo,White
2013,304,Muscat Blanc,White
2013,247,Muscat of Alexandria,White
2013,8,Muscat Orange,White
2013,2,Picpoul Blanc,White
2013,0,Pinot Blanc,White
2013,727,Pinot Gris,White
2013,4,Roussanne,White
2013,133,Sauvignon Blanc,White
2013,0,Sauvignon Musque,White
2013,1,Sauvignon Vert,White
2013,4,Semillon,White
2013,0,St. Emilion,White
2013,0,Symphony,White
2013,0,Tocai Friulano,White
2013,4,Triplett Blanc,White
2013,3,Verdelho,White
2013,13,Vermentino,White
2013,21,Viognier,White
2013,238,White Riesling,White
2013,48,Other White Wine,White
2019,0,Aglianico,Red
2019,0,Alicante Bouschet,Red
2019,434,Barbera,Red
2019,29,Cabernet Franc,Red
2019,970,Cabernet Sauvignon,Red
2019,0,Carignane,Red
2019,0,Carmenere,Red
2019,1,Charbono,Red
2019,11,Cinsaut,Red
2019,0,Counoise,Red
2019,0,Dolcetto,Red
2019,1,Dornfelder,Red
2019,1,Gamay,Red
2019,0,Graciano,Red
2019,37,Grenache,Red
2019,0,Lagrein,Red
2019,39,Malbec,Red
2019,64,Merlot,Red
2019,3,Meunier,Red
2019,2,Mission,Red
2019,0,Montepulciano,Red
2019,22,Mourvedre,Red
2019,5,Muscat Hamburg,Red
2019,1,Nebbiolo,Red
2019,23,Petit Verdot,Red
2019,35,Petite Sirah,Red
2019,419,Pinot Noir,Red
2019,0,Pinotage,Red
2019,8,Primitivo,Red
2019,0,Rubired,Red
2019,0,Ruby Cabernet,Red
2019,7,Sangiovese,Red
2019,1,Souzao,Red
2019,46,Syrah,Red
2019,2,Tannat,Red
2019,6,Tempranillo,Red
2019,0,Teroldego,Red
2019,4,Touriga Nacional,Red
2019,420,Zinfandel,Red
2019,41,Other Red Wine,Red
2019,57,Albarino,White
2019,0,Arneis,White
2019,955,Chardonnay,White
2019,23,Chenin Blanc,White
2019,114,French Colombard,White
2019,16,Gewurztraminer,White
2019,259,Grenache Blanc,White
2019,1,Gruner Veltliner,White
2019,0,Malvasia Bianca,White
2019,1,Marsanne,White
2019,0,Moscato Gaillo,White
2019,82,Muscat Blanc,White
2019,0,Muscat of Alexandria,White
2019,0,Muscat Orange,White
2019,0,Picpoul Blanc,White
2019,6,Pinot Blanc,White
2019,25,Pinot Gris,White
2019,1,Roussanne,White
2019,230,Sauvignon Blanc,White
2019,1,Sauvignon Musque,White
2019,0,Sauvignon Vert,White
2019,2,Semillon,White
2019,0,St. Emilion,White
2019,0,Symphony,White
2019,0,Tocai Friulano,White
2019,0,Triplett Blanc,White
2019,0,Verdelho,White
2019,6,Vermentino,White
2019,3,Viognier,White
2019,2,White Riesling,White
2019,94,Other White Wine,White
