,County,PCP,Year,Month
251,Amador County,5.21,2012,Apr
252,Amador County,0.24,2012,May
253,Amador County,0.56,2012,Jun
254,Amador County,0.16,2012,Jul
255,Amador County,0.05,2012,Aug
256,Amador County,0.16,2012,Sep
257,Amador County,1.55,2012,Oct
258,Amador County,6.45,2012,Noc
259,Amador County,10.53,2012,Dec
260,Amador County,1.34,2013,Jan
261,Amador County,0.71,2013,Feb
262,Amador County,2.89,2013,Mar
263,Amador County,1.56,2013,Apr
264,Amador County,1.0,2013,May
265,Amador County,0.74,2013,Jun
266,Amador County,0.02,2013,Jul
267,Amador County,0.02,2013,Aug
268,Amador County,1.18,2013,Sep
269,Amador County,0.28,2013,Oct
270,Amador County,1.7,2013,Noc
271,Amador County,0.81,2013,Dec
272,Amador County,1.45,2014,Jan
273,Amador County,8.87,2014,Feb
274,Amador County,4.66,2014,Mar
275,Amador County,2.6,2014,Apr
276,Amador County,0.65,2014,May
277,Amador County,0.03,2014,Jun
278,Amador County,0.13,2014,Jul
279,Amador County,0.07,2014,Aug
280,Amador County,0.93,2014,Sep
281,Amador County,0.72,2014,Oct
282,Amador County,3.2,2014,Noc
283,Amador County,7.98,2014,Dec
284,Amador County,0.14,2015,Jan
285,Amador County,5.36,2015,Feb
286,Amador County,0.83,2015,Mar
287,Amador County,3.09,2015,Apr
288,Amador County,1.39,2015,May
289,Amador County,0.27,2015,Jun
290,Amador County,0.18,2015,Jul
291,Amador County,0.02,2015,Aug
292,Amador County,0.07,2015,Sep
293,Amador County,1.89,2015,Oct
294,Amador County,5.26,2015,Noc
295,Amador County,8.16,2015,Dec
296,Amador County,9.96,2016,Jan
297,Amador County,1.61,2016,Feb
298,Amador County,7.88,2016,Mar
299,Amador County,3.38,2016,Apr
300,Amador County,0.87,2016,May
301,Amador County,0.01,2016,Jun
302,Amador County,0.0,2016,Jul
303,Amador County,0.02,2016,Aug
304,Amador County,0.05,2016,Sep
305,Amador County,7.44,2016,Oct
306,Amador County,3.49,2016,Noc
307,Amador County,6.3,2016,Dec
308,Amador County,18.68,2017,Jan
309,Amador County,16.23,2017,Feb
310,Amador County,4.71,2017,Mar
311,Amador County,5.82,2017,Apr
312,Amador County,0.74,2017,May
313,Amador County,0.69,2017,Jun
314,Amador County,0.0,2017,Jul
315,Amador County,0.14,2017,Aug
316,Amador County,0.41,2017,Sep
317,Amador County,0.53,2017,Oct
318,Amador County,7.35,2017,Noc
319,Amador County,0.64,2017,Dec
320,Amador County,5.62,2018,Jan
321,Amador County,1.0,2018,Feb
322,Amador County,12.02,2018,Mar
323,Amador County,4.16,2018,Apr
324,Amador County,0.87,2018,May
325,Amador County,0.01,2018,Jun
326,Amador County,0.04,2018,Jul
327,Amador County,0.02,2018,Aug
328,Amador County,0.01,2018,Sep
329,Amador County,0.6,2018,Oct
