County,Temp,Year,Total Pcp
Placer,55,2016,57.28
Placer,55,2017,75.84
Placer,55,2018,42.42
Placer,53.4,2019,61.82
Plumas,46.3,2011,35.98
Plumas,48.5,2012,52.28
Plumas,47.9,2013,12.06
Plumas,50.3,2014,39.05
Plumas,50,2015,26.23
Plumas,48.9,2016,52.75
Plumas,48.7,2017,68.34
Plumas,48.6,2018,35.36
Plumas,47.1,2019,56.14
Riverside,67.5,2011,6.34
Riverside,69.7,2012,6.21
Riverside,68.9,2013,4.87
Riverside,70.8,2014,5.23
Riverside,70,2015,5.43
Riverside,70.1,2016,8.04
Riverside,70.7,2017,7.94
Riverside,70.2,2018,5.82
Riverside,67.6,2019,12.78
Sacramento,60.5,2011,17.39
Sacramento,62.4,2012,22.58
Sacramento,62.7,2013,6.41
Sacramento,64.9,2014,18.89
Sacramento,64.1,2015,9.56
Sacramento,63.5,2016,22.67
Sacramento,63.7,2017,27.87
Sacramento,62.9,2018,18.95
Sacramento,62.8,2019,25.88
San Benito,57.6,2011,17.41
San Benito,59.5,2012,16.7
San Benito,59.7,2013,3.53
San Benito,62.2,2014,15.71
San Benito,61.1,2015,10.12
San Benito,60.4,2016,17.65
San Benito,60.7,2017,18.11
San Benito,60.3,2018,15.78
San Benito,59.1,2019,22.97
San Bernardino,65.5,2011,4.77
San Bernardino,68,2012,5.06
San Bernardino,67,2013,4.37
San Bernardino,69,2014,4.82
San Bernardino,68.1,2015,5.54
San Bernardino,68.1,2016,6.6
San Bernardino,68.7,2017,5.56
San Bernardino,68.4,2018,5.11
San Bernardino,65.5,2019,10.79
San Diego,62,2011,12.78
San Diego,63.9,2012,9.8
San Diego,63.4,2013,7.86
San Diego,65.9,2014,8.07
San Diego,64.9,2015,9.08
San Diego,64.8,2016,13.17
San Diego,65.2,2017,12.79
San Diego,64.8,2018,9.69
San Diego,62.5,2019,21.17
San Francisco,56.1,2011,21.16
San Francisco,56.5,2012,30.87
San Francisco,57.1,2013,6.21
San Francisco,59.9,2014,28.74
San Francisco,59.4,2015,11.15
San Francisco,58.3,2016,28.85
San Francisco,58.5,2017,31.59
San Francisco,57.6,2018,22.51
San Francisco,57.9,2019,29.56
San Joaquin,60.4,2011,11.61
San Joaquin,62.2,2012,15.68
San Joaquin,62.2,2013,5.06
San Joaquin,64.5,2014,14.4
San Joaquin,63.9,2015,7.69
San Joaquin,63.3,2016,18.33
San Joaquin,63.7,2017,19.08
San Joaquin,63.3,2018,14.35
San Joaquin,62.7,2019,17.6
San Luis Obispo,58.4,2011,15.48
San Luis Obispo,60.2,2012,13.9
San Luis Obispo,60.6,2013,3.12
San Luis Obispo,62.7,2014,12.18
San Luis Obispo,61.4,2015,6.65
San Luis Obispo,61.1,2016,16.06
San Luis Obispo,61.7,2017,20.89
San Luis Obispo,61.1,2018,14.4
San Luis Obispo,59.7,2019,23.65
San Mateo,56,2011,22.94
San Mateo,56.6,2012,33.17
San Mateo,57.2,2013,6.19
San Mateo,59.6,2014,28.55
San Mateo,59.2,2015,14.07
San Mateo,58.2,2016,33.08
San Mateo,58.4,2017,36.79
San Mateo,57.6,2018,22.73
San Mateo,57.9,2019,34.33
Santa Barbara,57.6,2011,16.36
Santa Barbara,59,2012,12.51
Santa Barbara,59,2013,3.94
Santa Barbara,61.8,2014,13.21
Santa Barbara,61.2,2015,5.05
Santa Barbara,60.4,2016,15.99
Santa Barbara,60.7,2017,20.52
Santa Barbara,60.2,2018,12.72
Santa Barbara,58.9,2019,26.65
Santa Clara,57.2,2011,19.71
Santa Clara,58.6,2012,25.16
Santa Clara,58.9,2013,5.12
Santa Clara,61,2014,24.39
Santa Clara,60.4,2015,13.73
Santa Clara,59.9,2016,29.64
Santa Clara,59.8,2017,31.53
Santa Clara,59.5,2018,21.1
Santa Clara,59,2019,32.17
Santa Cruz,56.5,2011,28.46
Santa Cruz,56.9,2012,36.02
Santa Cruz,58,2013,6.07
Santa Cruz,60.2,2014,33.51
Santa Cruz,60.1,2015,17.02
Santa Cruz,58.9,2016,40.44
Santa Cruz,58.9,2017,47.63
Santa Cruz,58.4,2018,27.33
Santa Cruz,58.5,2019,46.24
Shasta,53.8,2011,35.57
Shasta,55.3,2012,50.76
Shasta,56.2,2013,14.77
Shasta,57.9,2014,44.52
Shasta,58,2015,27.65
Shasta,56.3,2016,57.21
Shasta,56.6,2017,52.95
Shasta,56.6,2018,34.13
Shasta,55.2,2019,54.84
Sierra,45.9,2011,40.07
Sierra,48.2,2012,54.97
Sierra,47.8,2013,13.57
Sierra,50,2014,41.88
Sierra,49.7,2015,31.09
Sierra,48.6,2016,60.57
Sierra,48.7,2017,80.2
Sierra,48.7,2018,39.27
Sierra,46.9,2019,60.82
Siskiyou,47.6,2011,31.04
Siskiyou,49.3,2012,45.16
Siskiyou,49.8,2013,16.12
Siskiyou,51.8,2014,36.62
Siskiyou,51.9,2015,32.34
Siskiyou,50.1,2016,48.93
Siskiyou,50,2017,43.62
Siskiyou,50.3,2018,26.23
Siskiyou,49,2019,39.49
Solano,59.5,2011,17.16
Solano,61.1,2012,24.88
Solano,61.5,2013,5.1
Solano,63.5,2014,22.04
Solano,62.8,2015,8.74
Solano,61.9,2016,22.86
Solano,62.2,2017,30.57
Solano,61.6,2018,17.34
