County,Total Pcp,Year
Santa Barbara,12.51,2012
Santa Barbara,3.94,2013
Santa Barbara,13.21,2014
Santa Barbara,5.05,2015
Santa Barbara,15.99,2016
Santa Barbara,20.52,2017
Santa Barbara,12.72,2018
Santa Barbara,26.65,2019
Santa Clara,19.71,2011
Santa Clara,25.16,2012
Santa Clara,5.12,2013
Santa Clara,24.39,2014
Santa Clara,13.73,2015
Santa Clara,29.64,2016
Santa Clara,31.53,2017
Santa Clara,21.1,2018
Santa Clara,32.17,2019
Santa Cruz,28.46,2011
Santa Cruz,36.02,2012
Santa Cruz,6.07,2013
Santa Cruz,33.51,2014
Santa Cruz,17.02,2015
Santa Cruz,40.44,2016
Santa Cruz,47.63,2017
Santa Cruz,27.33,2018
Santa Cruz,46.24,2019
Shasta,35.57,2011
Shasta,50.76,2012
Shasta,14.77,2013
Shasta,44.52,2014
Shasta,27.65,2015
Shasta,57.21,2016
Shasta,52.95,2017
Shasta,34.13,2018
Shasta,54.84,2019
Sierra,40.07,2011
Sierra,54.97,2012
Sierra,13.57,2013
Sierra,41.88,2014
Sierra,31.09,2015
Sierra,60.57,2016
Sierra,80.2,2017
Sierra,39.27,2018
Sierra,60.82,2019
Siskiyou,31.04,2011
Siskiyou,45.16,2012
Siskiyou,16.12,2013
Siskiyou,36.62,2014
Siskiyou,32.34,2015
Siskiyou,48.93,2016
Siskiyou,43.62,2017
Siskiyou,26.23,2018
Siskiyou,39.49,2019
Solano,17.16,2011
Solano,24.88,2012
Solano,5.1,2013
Solano,22.04,2014
Solano,8.74,2015
Solano,22.86,2016
Solano,30.57,2017
Solano,17.34,2018
Solano,28.79,2019
Sonoma,32.85,2011
Sonoma,51.03,2012
Sonoma,10.12,2013
Sonoma,44.19,2014
Sonoma,21.43,2015
Sonoma,49.56,2016
Sonoma,52.76,2017
Sonoma,36.02,2018
Sonoma,57.85,2019
Stanislaus,11.89,2011
Stanislaus,14.2,2012
Stanislaus,4.37,2013
Stanislaus,14.42,2014
Stanislaus,8.63,2015
Stanislaus,18.04,2016
Stanislaus,16.82,2017
Stanislaus,13.57,2018
Stanislaus,17.77,2019
Sutter,18.17,2011
Sutter,22.78,2012
Sutter,6.57,2013
Sutter,20.03,2014
Sutter,8.87,2015
Sutter,21.39,2016
Sutter,25.41,2017
Sutter,17.61,2018
Sutter,28.23,2019
Tehama,29.58,2011
Tehama,43.09,2012
Tehama,11.42,2013
Tehama,42.34,2014
Tehama,19.56,2015
Tehama,47.99,2016
Tehama,40.84,2017
Tehama,30.58,2018
Tehama,48.44,2019
Trinity,46.77,2011
Trinity,69,2012
Trinity,19.11,2013
Trinity,55.3,2014
Trinity,43.21,2015
Trinity,74.92,2016
Trinity,67.76,2017
Trinity,39.76,2018
Trinity,66.14,2019
Tulare,17.94,2011
Tulare,18.29,2012
Tulare,6.87,2013
Tulare,14.47,2014
Tulare,15.27,2015
Tulare,19.73,2016
Tulare,27.33,2017
Tulare,16.35,2018
Tulare,29.53,2019
Tuolumne,38.92,2011
Tuolumne,42.11,2012
Tuolumne,12.64,2013
Tuolumne,30.42,2014
Tuolumne,30.01,2015
Tuolumne,45.14,2016
Tuolumne,64.58,2017
Tuolumne,37.4,2018
Tuolumne,52.12,2019
Ventura,16.52,2011
Ventura,12.34,2012
Ventura,4.93,2013
Ventura,14.86,2014
Ventura,6.82,2015
Ventura,16.14,2016
Ventura,20.91,2017
Ventura,14.24,2018
Ventura,31.01,2019
Yolo,18.92,2011
Yolo,25.72,2012
Yolo,5.79,2013
Yolo,21.62,2014
Yolo,9.19,2015
Yolo,22.92,2016
Yolo,30.74,2017
Yolo,17.84,2018
Yolo,33.14,2019
Yuba,33.62,2011
Yuba,48.71,2012
Yuba,11.15,2013
Yuba,38.61,2014
Yuba,19.52,2015
Yuba,46.73,2016
Yuba,55.01,2017
Yuba,33.66,2018
Yuba,52.15,2019
