id,County,Temp,Total_pcp,Year
416,Siskiyou,49.8,16.12,2013
417,Siskiyou,51.8,36.62,2014
418,Siskiyou,51.9,32.34,2015
419,Siskiyou,50.1,48.93,2016
420,Siskiyou,50.0,43.62,2017
421,Siskiyou,50.3,26.23,2018
422,Siskiyou,49.0,39.49,2019
423,Solano,59.5,17.16,2011
424,Solano,61.1,24.88,2012
425,Solano,61.5,5.1,2013
426,Solano,63.5,22.04,2014
427,Solano,62.8,8.74,2015
428,Solano,61.9,22.86,2016
429,Solano,62.2,30.57,2017
430,Solano,61.6,17.34,2018
431,Solano,61.6,28.79,2019
432,Sonoma,55.9,32.85,2011
433,Sonoma,56.9,51.03,2012
434,Sonoma,57.5,10.12,2013
435,Sonoma,59.7,44.19,2014
436,Sonoma,59.4,21.43,2015
437,Sonoma,58.2,49.56,2016
438,Sonoma,58.5,52.76,2017
439,Sonoma,58.1,36.02,2018
440,Sonoma,57.9,57.85,2019
441,Stanislaus,59.9,11.89,2011
442,Stanislaus,61.9,14.2,2012
443,Stanislaus,61.9,4.37,2013
444,Stanislaus,64.0,14.42,2014
445,Stanislaus,63.1,8.63,2015
446,Stanislaus,63.2,18.04,2016
447,Stanislaus,63.4,16.82,2017
448,Stanislaus,62.9,13.57,2018
449,Stanislaus,62.4,17.77,2019
450,Sutter,61.3,18.17,2011
451,Sutter,63.3,22.78,2012
452,Sutter,63.5,6.57,2013
453,Sutter,65.6,20.03,2014
454,Sutter,65.0,8.87,2015
455,Sutter,64.3,21.39,2016
456,Sutter,64.6,25.41,2017
457,Sutter,63.7,17.61,2018
458,Sutter,63.3,28.23,2019
459,Tehama,57.2,29.58,2011
460,Tehama,58.8,43.09,2012
461,Tehama,60.0,11.42,2013
462,Tehama,61.5,42.34,2014
463,Tehama,61.3,19.56,2015
464,Tehama,59.7,47.99,2016
465,Tehama,60.1,40.84,2017
466,Tehama,60.1,30.58,2018
467,Tehama,58.8,48.44,2019
468,Trinity,51.2,46.77,2011
469,Trinity,52.6,69.0,2012
470,Trinity,53.4,19.11,2013
471,Trinity,55.4,55.3,2014
472,Trinity,55.6,43.21,2015
473,Trinity,54.0,74.92,2016
474,Trinity,53.7,67.76,2017
475,Trinity,53.8,39.76,2018
476,Trinity,52.9,66.14,2019
477,Tulare,53.2,17.94,2011
478,Tulare,55.6,18.29,2012
479,Tulare,55.6,6.87,2013
480,Tulare,57.6,14.47,2014
481,Tulare,56.2,15.27,2015
482,Tulare,55.8,19.73,2016
483,Tulare,56.0,27.33,2017
484,Tulare,55.9,16.35,2018
485,Tulare,54.2,29.53,2019
486,Tuolumne,48.5,38.92,2011
487,Tuolumne,51.5,42.11,2012
488,Tuolumne,51.0,12.64,2013
489,Tuolumne,53.1,30.42,2014
490,Tuolumne,52.5,30.01,2015
491,Tuolumne,51.8,45.14,2016
492,Tuolumne,51.8,64.58,2017
493,Tuolumne,51.9,37.4,2018
494,Tuolumne,49.8,52.12,2019
495,Ventura,57.0,16.52,2011
496,Ventura,58.9,12.34,2012
497,Ventura,59.4,4.93,2013
498,Ventura,61.0,14.86,2014
499,Ventura,60.7,6.82,2015
500,Ventura,59.7,16.14,2016
501,Ventura,60.3,20.91,2017
502,Ventura,59.5,14.24,2018
503,Ventura,58.2,31.01,2019
504,Yolo,60.5,18.92,2011
505,Yolo,62.2,25.72,2012
506,Yolo,62.5,5.79,2013
507,Yolo,64.7,21.62,2014
508,Yolo,63.9,9.19,2015
509,Yolo,63.1,22.92,2016
510,Yolo,63.1,30.74,2017
511,Yolo,62.4,17.84,2018
512,Yolo,62.2,33.14,2019
513,Yuba,59.1,33.62,2011
514,Yuba,61.1,48.71,2012
515,Yuba,61.5,11.15,2013
516,Yuba,63.4,38.61,2014
517,Yuba,63.0,19.52,2015
518,Yuba,61.7,46.73,2016
519,Yuba,62.3,55.01,2017
520,Yuba,62.0,33.66,2018
521,Yuba,60.9,52.15,2019
