County,Date,PCP
Sierra County,201705,1.02
Sierra County,201706,0.64
Sierra County,201707,0.04
Sierra County,201708,0.34
Sierra County,201709,1.27
Sierra County,201710,0.87
Sierra County,201711,11.69
Sierra County,201712,0.84
Sierra County,201801,6.15
Sierra County,201802,1.77
Sierra County,201803,13.82
Sierra County,201804,4.53
Sierra County,201805,2.84
Sierra County,201806,0.31
Sierra County,201807,0.28
Sierra County,201808,0
Sierra County,201809,0.02
Sierra County,201810,0.74
Sierra County,201811,5.56
Sierra County,201812,3.25
Sierra County,201901,12
Sierra County,201902,19.94
Sierra County,201903,7.11
Sierra County,201904,3.19
Sierra County,201905,5.11
Sierra County,201906,0.54
Sierra County,201907,0.11
Sierra County,201908,0.04
Sierra County,201909,2.29
Sierra County,201910,0.16
Sierra County,201911,2.52
Sierra County,201912,7.81
Sierra County,202001,3.64
Sierra County,202002,0.23
Sierra County,202003,5.74
Sierra County,202004,3.01
Sierra County,202005,3.06
Sierra County,202006,0.32
Sierra County,202007,0.26
Sierra County,202008,0.12
Sierra County,202009,0.03
Sierra County,202010,0.02
Siskiyou County,201101,1.9
Siskiyou County,201102,3.61
Siskiyou County,201103,10.72
Siskiyou County,201104,3.15
Siskiyou County,201105,2.66
Siskiyou County,201106,1.66
Siskiyou County,201107,0.52
Siskiyou County,201108,0.02
Siskiyou County,201109,0.18
Siskiyou County,201110,2.22
Siskiyou County,201111,2.86
Siskiyou County,201112,1.54
Siskiyou County,201201,6.69
Siskiyou County,201202,2.55
Siskiyou County,201203,10
Siskiyou County,201204,3.9
Siskiyou County,201205,0.73
Siskiyou County,201206,1.44
Siskiyou County,201207,0.31
Siskiyou County,201208,0.06
Siskiyou County,201209,0
Siskiyou County,201210,1.87
Siskiyou County,201211,7.36
Siskiyou County,201212,10.25
Siskiyou County,201301,2.34
Siskiyou County,201302,0.99
Siskiyou County,201303,2.64
Siskiyou County,201304,1.69
Siskiyou County,201305,2.11
Siskiyou County,201306,0.82
Siskiyou County,201307,0.21
Siskiyou County,201308,0.55
Siskiyou County,201309,2.67
Siskiyou County,201310,0.19
Siskiyou County,201311,1.26
Siskiyou County,201312,0.65
Siskiyou County,201401,1.31
Siskiyou County,201402,6.28
Siskiyou County,201403,6.99
Siskiyou County,201404,1.22
Siskiyou County,201405,0.9
Siskiyou County,201406,0.32
Siskiyou County,201407,0.3
Siskiyou County,201408,0.31
Siskiyou County,201409,2.41
Siskiyou County,201410,4.54
Siskiyou County,201411,3.54
Siskiyou County,201412,8.5
Siskiyou County,201501,1.67
Siskiyou County,201502,7.72
Siskiyou County,201503,2.5
Siskiyou County,201504,1.15
Siskiyou County,201505,2.09
Siskiyou County,201506,0.52
Siskiyou County,201507,1.03
Siskiyou County,201508,0.15
Siskiyou County,201509,0.48
Siskiyou County,201510,0.86
Siskiyou County,201511,2.22
Siskiyou County,201512,11.95
Siskiyou County,201601,10.96
Siskiyou County,201602,3.01
Siskiyou County,201603,9.13
Siskiyou County,201604,2.06
Siskiyou County,201605,1.56
Siskiyou County,201606,1.15
Siskiyou County,201607,0.2
Siskiyou County,201608,0.01
Siskiyou County,201609,0.08
Siskiyou County,201610,10.35
Siskiyou County,201611,3.98
