,County,Total Pcp,Year
395,Santa Cruz,46.24,2019
396,Shasta,35.57,2011
397,Shasta,50.76,2012
398,Shasta,14.77,2013
399,Shasta,44.52,2014
400,Shasta,27.65,2015
401,Shasta,57.21,2016
402,Shasta,52.95,2017
403,Shasta,34.13,2018
404,Shasta,54.84,2019
405,Sierra,40.07,2011
406,Sierra,54.97,2012
407,Sierra,13.57,2013
408,Sierra,41.88,2014
409,Sierra,31.09,2015
410,Sierra,60.57,2016
411,Sierra,80.2,2017
412,Sierra,39.27,2018
413,Sierra,60.82,2019
414,Siskiyou,31.04,2011
415,Siskiyou,45.16,2012
416,Siskiyou,16.12,2013
417,Siskiyou,36.62,2014
418,Siskiyou,32.34,2015
419,Siskiyou,48.93,2016
420,Siskiyou,43.62,2017
421,Siskiyou,26.23,2018
422,Siskiyou,39.49,2019
423,Solano,17.16,2011
424,Solano,24.88,2012
425,Solano,5.1,2013
426,Solano,22.04,2014
427,Solano,8.74,2015
428,Solano,22.86,2016
429,Solano,30.57,2017
430,Solano,17.34,2018
431,Solano,28.79,2019
432,Sonoma,32.85,2011
433,Sonoma,51.03,2012
434,Sonoma,10.12,2013
435,Sonoma,44.19,2014
436,Sonoma,21.43,2015
437,Sonoma,49.56,2016
438,Sonoma,52.76,2017
439,Sonoma,36.02,2018
440,Sonoma,57.85,2019
441,Stanislaus,11.89,2011
442,Stanislaus,14.2,2012
443,Stanislaus,4.37,2013
444,Stanislaus,14.42,2014
445,Stanislaus,8.63,2015
446,Stanislaus,18.04,2016
447,Stanislaus,16.82,2017
448,Stanislaus,13.57,2018
449,Stanislaus,17.77,2019
450,Sutter,18.17,2011
451,Sutter,22.78,2012
452,Sutter,6.57,2013
453,Sutter,20.03,2014
454,Sutter,8.87,2015
455,Sutter,21.39,2016
456,Sutter,25.41,2017
457,Sutter,17.61,2018
458,Sutter,28.23,2019
459,Tehama,29.58,2011
460,Tehama,43.09,2012
461,Tehama,11.42,2013
462,Tehama,42.34,2014
463,Tehama,19.56,2015
464,Tehama,47.99,2016
465,Tehama,40.84,2017
466,Tehama,30.58,2018
467,Tehama,48.44,2019
468,Trinity,46.77,2011
469,Trinity,69.0,2012
470,Trinity,19.11,2013
471,Trinity,55.3,2014
472,Trinity,43.21,2015
473,Trinity,74.92,2016
474,Trinity,67.76,2017
475,Trinity,39.76,2018
476,Trinity,66.14,2019
477,Tulare,17.94,2011
478,Tulare,18.29,2012
479,Tulare,6.87,2013
480,Tulare,14.47,2014
481,Tulare,15.27,2015
482,Tulare,19.73,2016
483,Tulare,27.33,2017
484,Tulare,16.35,2018
485,Tulare,29.53,2019
486,Tuolumne,38.92,2011
487,Tuolumne,42.11,2012
488,Tuolumne,12.64,2013
489,Tuolumne,30.42,2014
490,Tuolumne,30.01,2015
491,Tuolumne,45.14,2016
492,Tuolumne,64.58,2017
493,Tuolumne,37.4,2018
494,Tuolumne,52.12,2019
495,Ventura,16.52,2011
496,Ventura,12.34,2012
497,Ventura,4.93,2013
498,Ventura,14.86,2014
499,Ventura,6.82,2015
500,Ventura,16.14,2016
501,Ventura,20.91,2017
502,Ventura,14.24,2018
503,Ventura,31.01,2019
504,Yolo,18.92,2011
505,Yolo,25.72,2012
506,Yolo,5.79,2013
507,Yolo,21.62,2014
508,Yolo,9.19,2015
509,Yolo,22.92,2016
510,Yolo,30.74,2017
511,Yolo,17.84,2018
512,Yolo,33.14,2019
513,Yuba,33.62,2011
514,Yuba,48.71,2012
515,Yuba,11.15,2013
516,Yuba,38.61,2014
517,Yuba,19.52,2015
518,Yuba,46.73,2016
519,Yuba,55.01,2017
520,Yuba,33.66,2018
521,Yuba,52.15,2019
