,County,Temp,Year
354,San Luis Obispo,62.7,2014
355,San Luis Obispo,61.4,2015
356,San Luis Obispo,61.1,2016
357,San Luis Obispo,61.7,2017
358,San Luis Obispo,61.1,2018
359,San Luis Obispo,59.7,2019
360,San Mateo,56.0,2011
361,San Mateo,56.6,2012
362,San Mateo,57.2,2013
363,San Mateo,59.6,2014
364,San Mateo,59.2,2015
365,San Mateo,58.2,2016
366,San Mateo,58.4,2017
367,San Mateo,57.6,2018
368,San Mateo,57.9,2019
369,Santa Barbara,57.6,2011
370,Santa Barbara,59.0,2012
371,Santa Barbara,59.0,2013
372,Santa Barbara,61.8,2014
373,Santa Barbara,61.2,2015
374,Santa Barbara,60.4,2016
375,Santa Barbara,60.7,2017
376,Santa Barbara,60.2,2018
377,Santa Barbara,58.9,2019
378,Santa Clara,57.2,2011
379,Santa Clara,58.6,2012
380,Santa Clara,58.9,2013
381,Santa Clara,61.0,2014
382,Santa Clara,60.4,2015
383,Santa Clara,59.9,2016
384,Santa Clara,59.8,2017
385,Santa Clara,59.5,2018
386,Santa Clara,59.0,2019
387,Santa Cruz,56.5,2011
388,Santa Cruz,56.9,2012
389,Santa Cruz,58.0,2013
390,Santa Cruz,60.2,2014
391,Santa Cruz,60.1,2015
392,Santa Cruz,58.9,2016
393,Santa Cruz,58.9,2017
394,Santa Cruz,58.4,2018
395,Santa Cruz,58.5,2019
396,Shasta,53.8,2011
397,Shasta,55.3,2012
398,Shasta,56.2,2013
399,Shasta,57.9,2014
400,Shasta,58.0,2015
401,Shasta,56.3,2016
402,Shasta,56.6,2017
403,Shasta,56.6,2018
404,Shasta,55.2,2019
405,Sierra,45.9,2011
406,Sierra,48.2,2012
407,Sierra,47.8,2013
408,Sierra,50.0,2014
409,Sierra,49.7,2015
410,Sierra,48.6,2016
411,Sierra,48.7,2017
412,Sierra,48.7,2018
413,Sierra,46.9,2019
414,Siskiyou,47.6,2011
415,Siskiyou,49.3,2012
416,Siskiyou,49.8,2013
417,Siskiyou,51.8,2014
418,Siskiyou,51.9,2015
419,Siskiyou,50.1,2016
420,Siskiyou,50.0,2017
421,Siskiyou,50.3,2018
422,Siskiyou,49.0,2019
423,Solano,59.5,2011
424,Solano,61.1,2012
425,Solano,61.5,2013
426,Solano,63.5,2014
427,Solano,62.8,2015
428,Solano,61.9,2016
429,Solano,62.2,2017
430,Solano,61.6,2018
431,Solano,61.6,2019
432,Sonoma,55.9,2011
433,Sonoma,56.9,2012
434,Sonoma,57.5,2013
435,Sonoma,59.7,2014
436,Sonoma,59.4,2015
437,Sonoma,58.2,2016
438,Sonoma,58.5,2017
439,Sonoma,58.1,2018
440,Sonoma,57.9,2019
441,Stanislaus,59.9,2011
442,Stanislaus,61.9,2012
443,Stanislaus,61.9,2013
444,Stanislaus,64.0,2014
445,Stanislaus,63.1,2015
446,Stanislaus,63.2,2016
447,Stanislaus,63.4,2017
448,Stanislaus,62.9,2018
449,Stanislaus,62.4,2019
450,Sutter,61.3,2011
451,Sutter,63.3,2012
452,Sutter,63.5,2013
