County,Date,PCP
San Diego County,201301,1.56
San Diego County,201401,0.14
San Diego County,201501,0.6
San Diego County,201601,4.03
San Diego County,201701,5.78
San Diego County,201801,2.55
San Diego County,201901,2.92
San Francisco County,201101,1.45
San Francisco County,201201,3.14
San Francisco County,201301,0.59
San Francisco County,201401,0.08
San Francisco County,201501,0
San Francisco County,201601,7.46
San Francisco County,201701,10.63
San Francisco County,201801,5.61
San Francisco County,201901,5.57
San Joaquin County,201101,1.02
San Joaquin County,201201,1.69
San Joaquin County,201301,1.2
San Joaquin County,201401,0.21
San Joaquin County,201501,0.01
San Joaquin County,201601,4.86
San Joaquin County,201701,7.4
San Joaquin County,201801,3.12
San Joaquin County,201901,2.73
San Luis Obispo County,201101,1.88
San Luis Obispo County,201201,2.4
San Luis Obispo County,201301,0.94
San Luis Obispo County,201401,0.01
San Luis Obispo County,201501,0.35
San Luis Obispo County,201601,5.29
San Luis Obispo County,201701,10.07
San Luis Obispo County,201801,2.47
San Luis Obispo County,201901,5.58
San Mateo County,201101,1.64
San Mateo County,201201,3.43
San Mateo County,201301,0.61
San Mateo County,201401,0.07
San Mateo County,201501,0.01
San Mateo County,201601,8.05
San Mateo County,201701,13.98
San Mateo County,201801,6.24
San Mateo County,201901,6.54
Santa Barbara County,201101,1.24
Santa Barbara County,201201,1.64
Santa Barbara County,201301,1.18
Santa Barbara County,201401,0.02
Santa Barbara County,201501,0.95
Santa Barbara County,201601,5.22
Santa Barbara County,201701,8.75
Santa Barbara County,201801,2.75
Santa Barbara County,201901,7.52
Santa Clara County,201101,1.85
Santa Clara County,201201,3.07
Santa Clara County,201301,0.98
Santa Clara County,201401,0.2
Santa Clara County,201501,0.01
Santa Clara County,201601,7.73
Santa Clara County,201701,12.68
Santa Clara County,201801,4.74
Santa Clara County,201901,5.45
Santa Cruz County,201101,2.37
Santa Cruz County,201201,4.11
Santa Cruz County,201301,1.01
Santa Cruz County,201401,0.08
Santa Cruz County,201501,0
Santa Cruz County,201601,11.48
Santa Cruz County,201701,19.27
Santa Cruz County,201801,6.08
Santa Cruz County,201901,8.87
Shasta County,201101,1.65
Shasta County,201201,6.06
Shasta County,201301,1.43
Shasta County,201401,0.64
Shasta County,201501,0.67
Shasta County,201601,13.62
Shasta County,201701,14.71
Shasta County,201801,5.62
Shasta County,201901,9.06
Sierra County,201101,1.52
Sierra County,201201,6.83
Sierra County,201301,1
Sierra County,201401,1.86
Sierra County,201501,0.11
Sierra County,201601,12.28
Sierra County,201701,25.17
Sierra County,201801,6.15
Sierra County,201901,12
Siskiyou County,201101,1.9
Siskiyou County,201201,6.69
Siskiyou County,201301,2.34
Siskiyou County,201401,1.31
Siskiyou County,201501,1.67
Siskiyou County,201601,10.96
Siskiyou County,201701,10.61
Siskiyou County,201801,4.34
Siskiyou County,201901,6.39
Solano County,201101,1.52
Solano County,201201,3.41
Solano County,201301,0.72
Solano County,201401,0.13
Solano County,201501,0.02
Solano County,201601,6.71
Solano County,201701,12.48
Solano County,201801,3.98
Solano County,201901,5.94
Sonoma County,201101,2.4
Sonoma County,201201,8.08
Sonoma County,201301,1.22
Sonoma County,201401,0.25
Sonoma County,201501,0.19
Sonoma County,201601,12.73
Sonoma County,201701,19.58
Sonoma County,201801,7.92
Sonoma County,201901,9.67
Stanislaus County,201101,1.31
Stanislaus County,201201,1.42
Stanislaus County,201301,1.07
Stanislaus County,201401,0.41
Stanislaus County,201501,0.02
Stanislaus County,201601,5.05
Stanislaus County,201701,6.98
Stanislaus County,201801,2.89
Stanislaus County,201901,2.89
Sutter County,201101,1.49
Sutter County,201201,3.61
Sutter County,201301,0.87
Sutter County,201401,0.31
Sutter County,201501,0.1
Sutter County,201601,5.42
Sutter County,201701,9.03
Sutter County,201801,4.38
Sutter County,201901,5.22
Tehama County,201101,1.79
Tehama County,201201,6.17
Tehama County,201301,1.37
Tehama County,201401,0.5
Tehama County,201501,0.25
Tehama County,201601,12.23
Tehama County,201701,11.81
Tehama County,201801,5.24
Tehama County,201901,9.32
Trinity County,201101,2.51
Trinity County,201201,10.69
Trinity County,201301,2.16
Trinity County,201401,1.54
Trinity County,201501,1.79
Trinity County,201601,19.74
Trinity County,201701,18.3
Trinity County,201801,7.62
Trinity County,201901,11.37
Tulare County,201101,1.78
